=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 02:12:48 =~=~=~=~=~=~=~=~=~=~=~=
,-20.81
2238.03,-20.91
2238.03,-20.91
2238.03,-21.45
2238.03,-20.91
2238.03,-21.13
2238.04,-19.19
2238.04,-21.88
2238.04,-22.10
2238.04,-21.34
2238.05,-20.16
2238.05,-20.91
2238.05,-21.24
2238.05,-21.02
2238.05,-21.45
2238.05,-19.84
2238.06,-21.88
2238.06,-19.19
2238.06,-20.81
2238.06,-22.21
2238.06,-21.78
2238.06,-19.51
2238.06,-20.70
2238.06,-21.02
2238.06,-21.02
2238.07,-21.45
2238.07,-21.02
2238.07,-20.91
2238.07,-21.45
2238.07,-21.24
2238.07,-20.16
2238.07,-20.70
2238.07,-21.34
2238.07,-21.78
2238.08,-21.88
2238.08,-20.91
2238.08,-20.91
2238.08,-21.24
2238.08,-21.67
2238.08,-21.24
2238.08,-21.02
2238.08,-19.51
2238.09,-21.13
2238.09,-21.67
2238.09,-20.05
2238.10,-21.56
2238.10,-20.91
2238.10,-21.56
2238.10,-21.45
2238.10,-20.70
2238.10,-20.48
2238.10,-21.34
2238.10,-21.45
2238.11,-21.99
2238.11,-20.27
2238.11,-21.02
2238.11,-21.34
2238.11,-20.81
2238.11,-21.13
2238.11,-20.27
2238.11,-20.59
2238.11,-21.45
2238.12,-20.91
2238.12,-21.24
2238.12,-21.24
2238.12,-21.45
2238.12,-21.67
2238.12,-21.13
2238.12,-21.13
2238.12,-21.24
2238.12,-21.56
2238.12,-21.13
2238.13,-20.91
2238.14,-21.13
2238.14,-21.45
2238.14,-20.91
2238.14,-20.16
2238.14,-21.24
2238.14,-20.91
2238.14,-19.84
2238.14,-21.02
2238.15,-21.45
2238.15,-21.45
2238.15,-21.34
2238.15,-20.16
2238.15,-21.88
2238.15,-21.67
2238.15,-20.91
2238.15,-20.91
2238.15,-20.37
2238.16,-21.24
2238.16,-21.67
2238.16,-21.56
2238.16,-20.91
2238.16,-21.13
2238.16,-21.24
2238.16,-21.34
2238.16,-21.34
2238.16,-21.34
2238.16,-20.59
2238.17,-19.30
2238.17,-21.24
2238.17,-21.02
2238.17,-21.24
2238.17,-21.02
2238.18,-21.13
2238.18,-19.73
2238.18,-21.45
2238.18,-21.45
2238.19,-21.56
2238.19,-21.02
2238.19,-20.70
2238.19,-20.91
2238.19,-20.81
2238.19,-20.91
2238.19,-20.48
2238.19,-21.24
2238.19,-20.59
2238.20,-22.42
2238.20,-21.56
2238.20,-20.91
2238.20,-20.91
2238.20,-21.02
2238.20,-21.24
2238.20,-21.88
2238.20,-21.45
2238.20,-21.56
2238.20,-21.88
2238.21,-21.02
2238.21,-21.88
2238.21,-21.56
2238.21,-21.88
2238.21,-21.24
2238.21,-21.45
2238.21,-21.45
2238.21,-21.34
2238.21,-21.24
2238.23,-21.99
2238.23,-21.67
2238.23,-21.24
2238.23,-21.67
2238.23,-21.13
2238.23,-21.67
2238.23,-21.13
2238.23,-21.88
2238.23,-20.27
2238.24,-21.02
2238.24,-21.45
2238.24,-21.24
2238.24,-21.99
2238.24,-21.13
2238.24,-21.24
2238.24,-21.24
2238.24,-21.13
2238.24,-20.91
2238.24,-20.91
2238.25,-21.24
2238.25,-21.02
2238.25,-21.02
2238.25,-20.37
2238.25,-20.27
2238.25,-21.34
2238.25,-21.24
2238.25,-21.34
2238.25,-19.94
2238.26,-21.34
2238.26,-21.45
2238.26,-21.02
2238.26,-20.81
2238.26,-20.59
2238.26,-21.13
2238.27,-21.24
2238.27,-20.91
2238.27,-21.56
2238.28,-20.91
2238.28,-21.02
2238.28,-21.02
2238.28,-21.67
2238.28,-21.99
2238.28,-21.02
2238.28,-21.02
2238.28,-19.19
2238.28,-20.70
2238.28,-21.78
2238.29,-21.13
2238.29,-20.81
2238.29,-20.91
2238.29,-21.56
2238.29,-21.13
2238.29,-20.91
2238.29,-20.91
2238.29,-19.73
2238.29,-20.91
2238.30,-21.45
2238.30,-20.91
2238.30,-20.91
2238.30,-21.02
2238.30,-21.13
2238.30,-21.24
2238.30,-21.45
2238.30,-21.24
2238.30,-21.34
2238.32,-21.24
2238.32,-21.67
2238.32,-21.56
2238.32,-20.91
2238.32,-21.24
2238.32,-21.24
2238.32,-21.24
2238.32,-21.24
2238.32,-21.02
2238.32,-21.56
2238.33,-21.24
2238.33,-21.24
2238.33,-21.56
2238.33,-18.76
2238.33,-21.24
2238.33,-21.45
2238.33,-21.78
2238.33,-21.67
2238.33,-21.02
2238.34,-21.99
2238.34,-20.81
2238.34,-21.45
2238.34,-21.02
