=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.05 23:00:12 =~=~=~=~=~=~=~=~=~=~=~=
,-0.54
9461.85,-1.72
9461.86,-0.65
9461.86,-1.51
9461.86,-2.26
9461.86,-0.22
9461.86,-1.72
9461.86,-1.62
9461.86,-1.94
9461.86,-1.19
9461.86,-1.83
9461.86,-1.83
9461.87,-0.22
9461.87,-1.83
9461.87,-2.16
9461.87,-0.22
9461.87,-1.83
9461.87,-1.40
9461.87,-1.29
9461.87,-0.75
9461.87,-1.94
9461.87,-1.94
9461.88,0.00
9461.88,-1.62
9461.89,-1.51
9461.89,-1.62
9461.89,-1.29
9461.89,-1.94
9461.89,-1.08
9461.89,-1.94
9461.89,-0.43
9461.89,-0.32
9461.90,-1.72
9461.90,-1.83
9461.90,-1.40
9461.90,-1.83
9461.90,-1.83
9461.90,-1.40
9461.90,-1.40
9461.90,-1.62
9461.90,-1.40
9461.90,0.11
9461.91,-0.97
9461.91,-1.94
9461.91,-1.40
9461.91,-1.83
9461.91,-3.34
9461.91,-2.05
9461.91,-1.19
9461.91,-1.62
9461.91,-1.83
9461.91,-1.94
9461.92,-0.75
9461.92,-1.40
9461.92,-1.83
9461.92,0.54
9461.93,-1.83
9461.93,-0.11
9461.93,-1.08
9461.93,-0.97
9461.93,-1.51
9461.93,-2.05
9461.93,-1.19
9461.94,-1.62
9461.94,-1.72
9461.94,-1.83
9461.94,-1.19
9461.94,-1.19
9461.94,-0.75
9461.94,-3.23
9461.94,-0.75
9461.94,-1.94
9461.94,-0.22
9461.95,-2.16
9461.95,-1.83
9461.95,0.86
9461.95,-1.40
9461.95,-1.94
9461.95,-1.51
9461.95,-0.54
9461.95,-0.75
9461.95,-0.22
9461.95,-1.62
9461.96,-2.48
9461.96,-1.72
9461.96,-1.29
9461.96,-1.40
9461.96,-1.83
9461.97,-1.72
9461.97,-0.32
9461.97,-0.22
9461.97,-1.94
9461.97,-1.51
9461.98,-2.05
9461.98,-0.54
9461.98,-0.75
9461.98,-0.22
9461.98,-1.40
9461.98,-1.29
9461.98,-1.29
9461.98,-1.62
9461.98,-1.19
9461.98,-1.72
9461.99,-1.40
9461.99,-1.19
9461.99,-0.86
9461.99,-1.94
9461.99,-1.72
9461.99,-1.94
9461.99,-0.22
9461.99,-1.72
9461.99,-1.72
9461.99,-1.62
