=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 02:20:59 =~=~=~=~=~=~=~=~=~=~=~=,
2728.98,-21.67
2728.98,-20.27
2728.98,-21.45
2728.98,-21.45
2728.98,-20.81
2728.99,-20.81
2728.99,-19.94
2728.99,-21.13
2728.99,-21.13
2728.99,-21.24
2728.99,-21.45
2728.99,-21.02
2728.99,-21.24
2728.99,-20.91
2729,-21.24
2729.01,-21.02
2729.01,-21.34
2729.01,-20.91
2729.01,-21.13
2729.01,-20.7
2729.01,-20.16
2729.01,-21.02
2729.01,-20.91
2729.01,-21.24
2729.02,-21.34
2729.02,-21.24
2729.02,-21.13
2729.02,-20.59
2729.02,-21.45
2729.02,-20.37
2729.02,-20.91
2729.02,-21.78
2729.02,-21.13
2729.03,-21.24
2729.03,-21.34
2729.03,-21.24
2729.03,-21.24
2729.03,-21.02
2729.03,-21.34
2729.03,-21.34
2729.03,-21.78
2729.03,-21.02
2729.04,-20.91
2729.04,-21.34
2729.04,-19.62
2729.04,-20.91
2729.05,-21.67
2729.05,-21.56
2729.05,-21.24
2729.05,-21.13
2729.05,-21.45
2729.05,-21.34
2729.06,-20.91
2729.06,-21.45
2729.06,-20.91
2729.06,-20.91
2729.06,-21.24
2729.06,-21.45
2729.06,-20.91
2729.06,-21.45
2729.06,-20.91
2729.07,-21.13
2729.07,-21.13
2729.07,-21.56
2729.07,-21.34
2729.07,-19.73
2729.07,-21.34
2729.07,-20.81
2729.07,-20.91
2729.07,-21.24
2729.08,-21.24
2729.08,-21.02
2729.08,-22.31
2729.08,-20.81
2729.08,-20.7
2729.08,-20.91
2729.08,-20.91
2729.08,-20.91
2729.09,-21.56
2729.09,-21.67
2729.09,-20.91
2729.1,-21.34
2729.1,-21.67
2729.1,-21.24
2729.1,-20.59
2729.1,-19.3
2729.1,-21.02
2729.1,-21.13
2729.1,-21.02
2729.11,-20.91
2729.11,-19.3
2729.11,-21.13
2729.11,-20.91
